t,res_kind,mkind,ref_b_x,ref_b_y,ref_b_yaw,contra_b,raw_x,raw_y,raw_yaw,chosen_x,chosen_y,chosen_yaw,ref_a_x,ref_a_y,ref_a_yaw,contra_a,resid_to_ref,reloc_x,reloc_y,reloc_yaw,prior_x,prior_y,prior_yaw
1787423963.360,full,ok,0.4032,-0.0236,3.1345,0,0.4182,-0.0181,3.1355,0.4182,-0.0181,3.1355,0.4107,-0.0209,3.1350,0,0.0160,,,,0.4007,0.0093,3.1412
1787423963.445,full,ok,0.4107,-0.0209,3.1350,0,0.4233,-0.0259,3.1342,0.4233,-0.0259,3.1342,0.4170,-0.0234,3.1346,0,0.0135,,,,0.4097,0.0172,-3.1405
1787423963.571,full,ok,0.4170,-0.0234,3.1346,0,0.4418,-0.0400,3.1306,0.4418,-0.0400,3.1306,0.4294,-0.0317,3.1326,0,0.0298,,,,0.4167,0.0129,-3.1410
1787423963.640,full,ok,0.4294,-0.0317,3.1326,0,0.4442,-0.0145,3.1355,0.4442,-0.0145,3.1355,0.4368,-0.0231,3.1341,0,0.0227,,,,0.4324,0.0079,3.1404
1787423963.728,full,ok,0.4368,-0.0231,3.1341,0,0.4529,-0.0537,3.1263,0.4529,-0.0537,3.1263,0.4449,-0.0384,3.1302,0,0.0345,,,,0.4324,0.0079,3.1404
1787423963.841,full,ok,0.4449,-0.0384,3.1302,0,0.3419,-0.0012,3.1414,0.3419,-0.0012,3.1414,0.3934,-0.0198,3.1358,0,0.1095,,,,0.4459,-0.0011,3.1373
1787423963.908,full,ok,0.3934,-0.0198,3.1358,0,0.3368,-0.0064,3.1400,0.3368,-0.0064,3.1400,0.3651,-0.0131,3.1379,0,0.0581,,,,0.4459,-0.0011,3.1373
1787423963.998,full,ok,0.3651,-0.0131,3.1379,0,0.3492,0.0126,-3.1398,0.3492,0.0126,-3.1398,0.3572,-0.0002,3.1407,0,0.0302,,,,0.3585,0.0130,-3.1391
1787423964.073,full,ok,0.3572,-0.0002,3.1407,0,0.3422,-0.0081,3.1399,0.3422,-0.0081,3.1399,0.3497,-0.0042,3.1403,0,0.0168,,,,0.3477,0.0249,-3.1372
1787423964.133,full,ok,0.3497,-0.0042,3.1403,0,0.3433,0.0106,-3.1401,0.3433,0.0106,-3.1401,0.3465,0.0032,-3.1415,0,0.0160,,,,0.3477,0.0249,-3.1372
1787423964.213,full,ok,0.3465,0.0032,-3.1415,0,0.3452,0.0009,3.1413,0.3452,0.0009,3.1413,0.3458,0.0020,3.1415,0,0.0027,,,,0.3396,0.0236,-3.1365
1787423964.278,full,ok,0.3458,0.0020,3.1415,0,0.3545,-0.0089,3.1391,0.3545,-0.0089,3.1391,0.3502,-0.0035,3.1403,0,0.0140,,,,0.3350,0.0299,-3.1357
1787423964.346,full,ok,0.3502,-0.0035,3.1403,0,0.3403,0.0004,3.1409,0.3403,0.0004,3.1409,0.3453,-0.0015,3.1406,0,0.0106,,,,0.3396,0.0262,-3.1366
1787423964.425,full,ok,0.3453,-0.0015,3.1406,0,0.3376,0.0096,-3.1405,0.3376,0.0096,-3.1405,0.3414,0.0040,-3.1415,0,0.0135,,,,0.3396,0.0262,-3.1366
1787423964.505,full,ok,0.3414,0.0040,-3.1415,0,0.3343,-0.0107,3.1395,0.3343,-0.0107,3.1395,0.3379,-0.0033,3.1406,0,0.0164,,,,0.3351,0.0270,-3.1366
1787423964.628,full,ok,0.3379,-0.0033,3.1406,0,0.3382,-0.0062,3.1401,0.3382,-0.0062,3.1401,0.3380,-0.0048,3.1403,0,0.0030,,,,0.3272,0.0275,-3.1356
1787423964.706,full,ok,0.3380,-0.0048,3.1403,0,0.3411,-0.0019,3.1412,0.3411,-0.0019,3.1412,0.3396,-0.0034,3.1408,0,0.0042,,,,0.3112,0.0519,-3.1404
1787423964.796,full,ok,0.3396,-0.0034,3.1408,0,0.3404,0.0024,-3.1414,0.3404,0.0024,-3.1414,0.3400,-0.0005,3.1413,0,0.0058,,,,0.3291,0.0271,-3.1358
1787423964.910,full,ok,0.3400,-0.0005,3.1413,0,0.3391,0.0043,-3.1412,0.3391,0.0043,-3.1412,0.3395,0.0019,-3.1416,0,0.0049,,,,0.3297,0.0285,-3.1358
1787423964.976,full,ok,0.3395,0.0019,-3.1416,0,0.3347,-0.0017,3.1409,0.3347,-0.0017,3.1409,0.3371,0.0001,3.1413,0,0.0060,,,,0.3289,0.0319,-3.1354
1787423965.062,full,ok,0.3371,0.0001,3.1413,0,0.3368,0.0045,-3.1408,0.3368,0.0045,-3.1408,0.3370,0.0023,-3.1414,0,0.0044,,,,0.3279,0.0276,-3.1361
1787423965.179,full,ok,0.3370,0.0023,-3.1414,0,0.3423,-0.0002,3.1414,0.3423,-0.0002,3.1414,0.3396,0.0010,-3.1416,0,0.0059,,,,0.3276,0.0288,-3.1357
1787423965.245,full,ok,0.3396,0.0010,-3.1416,0,0.3369,-0.0098,3.1395,0.3369,-0.0098,3.1395,0.3383,-0.0044,3.1406,0,0.0112,,,,0.3301,0.0299,-3.1354
1787423965.320,full,ok,0.3383,-0.0044,3.1406,0,0.3323,-0.0009,3.1416,0.3323,-0.0009,3.1416,0.3353,-0.0026,3.1411,0,0.0069,,,,0.3301,0.0299,-3.1354
1787423965.386,full,ok,0.3353,-0.0026,3.1411,0,0.3318,-0.0013,3.1412,0.3318,-0.0013,3.1412,0.3335,-0.0020,3.1411,0,0.0037,,,,0.3300,0.0228,-3.1367
1787423965.526,full,ok,0.3335,-0.0020,3.1411,0,0.3392,0.0036,-3.1413,0.3392,0.0036,-3.1413,0.3364,0.0008,3.1415,0,0.0079,,,,0.3259,0.0213,-3.1372
1787423965.605,full,ok,0.3364,0.0008,3.1415,0,0.3376,0.0003,3.1412,0.3376,0.0003,3.1412,0.3370,0.0005,3.1413,0,0.0013,,,,0.3119,0.0433,3.1414
1787423965.661,full,ok,0.3370,0.0005,3.1413,0,0.3394,0.0032,-3.1413,0.3394,0.0032,-3.1413,0.3382,0.0019,-3.1416,0,0.0036,,,,0.3293,0.0247,-3.1368
1787423965.754,full,ok,0.3382,0.0019,-3.1416,0,0.3403,0.0140,-3.1391,0.3403,0.0140,-3.1391,0.3392,0.0080,-3.1403,0,0.0124,,,,0.3313,0.0229,-3.1371
1787423965.832,full,ok,0.3392,0.0080,-3.1403,0,0.3331,0.0117,-3.1398,0.3331,0.0117,-3.1398,0.3362,0.0098,-3.1401,0,0.0072,,,,0.3313,0.0229,-3.1371
1787423965.884,full,ok,0.3362,0.0098,-3.1401,0,0.3343,0.0144,-3.1385,0.3343,0.0144,-3.1385,0.3352,0.0121,-3.1393,0,0.0050,,,,0.3319,0.0284,-3.1361
1787423965.954,full,ok,0.3352,0.0121,-3.1393,0,0.3356,0.0192,-3.1380,0.3356,0.0192,-3.1380,0.3354,0.0157,-3.1386,0,0.0071,,,,0.3291,0.0297,-3.1353
1787423966.048,full,ok,0.3354,0.0157,-3.1386,0,0.3414,0.0156,-3.1389,0.3414,0.0156,-3.1389,0.3384,0.0156,-3.1388,0,0.0060,,,,0.3291,0.0329,-3.1351
1787423966.191,full,ok,0.3384,0.0156,-3.1388,0,0.3401,0.0101,-3.1394,0.3401,0.0101,-3.1394,0.3393,0.0129,-3.1391,0,0.0057,,,,0.3317,0.0355,-3.1347
1787423966.268,full,ok,0.3393,0.0129,-3.1391,0,0.3356,0.0061,-3.1403,0.3356,0.0061,-3.1403,0.3374,0.0095,-3.1397,0,0.0077,,,,0.3322,0.0367,-3.1338
1787423966.380,full,ok,0.3374,0.0095,-3.1397,0,0.3372,-0.0049,3.1407,0.3372,-0.0049,3.1407,0.3373,0.0023,-3.1411,0,0.0144,,,,0.3313,0.0318,-3.1348
1787423966.480,full,ok,0.3373,0.0023,-3.1411,0,0.3356,-0.0009,3.1415,0.3356,-0.0009,3.1415,0.3365,0.0007,-3.1414,0,0.0037,,,,0.3311,0.0262,-3.1359
1787423966.535,full,ok,0.3365,0.0007,-3.1414,0,0.3339,-0.0012,3.1413,0.3339,-0.0012,3.1413,0.3352,-0.0003,3.1416,0,0.0032,,,,0.3311,0.0262,-3.1359
1787423966.618,full,ok,0.3352,-0.0003,3.1416,0,0.3320,-0.0004,3.1414,0.3320,-0.0004,3.1414,0.3336,-0.0003,3.1415,0,0.0031,,,,0.3305,0.0230,-3.1366
1787423966.700,full,ok,0.3336,-0.0003,3.1415,0,0.3367,0.0044,-3.1410,0.3367,0.0044,-3.1410,0.3352,0.0020,-3.1413,0,0.0056,,,,0.3302,0.0190,-3.1376
1787423966.782,full,ok,0.3352,0.0020,-3.1413,0,0.3354,0.0082,-3.1403,0.3354,0.0082,-3.1403,0.3353,0.0051,-3.1408,0,0.0062,,,,0.3300,0.0188,-3.1379
1787423966.915,full,ok,0.3353,0.0051,-3.1408,0,0.3434,0.0058,-3.1407,0.3434,0.0058,-3.1407,0.3394,0.0055,-3.1408,0,0.0082,,,,0.3302,0.0206,-3.1377
1787423967.007,full,ok,0.3394,0.0055,-3.1408,0,0.3453,0.0116,-3.1394,0.3453,0.0116,-3.1394,0.3423,0.0085,-3.1401,0,0.0085,,,,0.3346,0.0227,-3.1372
1787423967.069,full,ok,0.3423,0.0085,-3.1401,0,0.3429,0.0092,-3.1398,0.3429,0.0092,-3.1398,0.3426,0.0089,-3.1400,0,0.0009,,,,0.3381,0.0240,-3.1368
1787423967.139,full,ok,0.3426,0.0089,-3.1400,0,0.3468,0.0032,-3.1411,0.3468,0.0032,-3.1411,0.3447,0.0060,-3.1406,0,0.0071,,,,0.3381,0.0240,-3.1368
1787423967.227,full,ok,0.3447,0.0060,-3.1406,0,0.3444,0.0004,3.1414,0.3444,0.0004,3.1414,0.3445,0.0032,-3.1412,0,0.0056,,,,0.3389,0.0228,-3.1369
1787423967.392,full,ok,0.3445,0.0032,-3.1412,0,0.3454,0.0058,-3.1408,0.3454,0.0058,-3.1408,0.3450,0.0045,-3.1410,0,0.0028,,,,0.3408,0.0188,-3.1379
1787423967.437,full,ok,0.3450,0.0045,-3.1410,0,0.3486,0.0096,-3.1401,0.3486,0.0096,-3.1401,0.3468,0.0071,-3.1405,0,0.0063,,,,0.3408,0.0188,-3.1379
1787423967.529,full,ok,0.3468,0.0071,-3.1405,0,0.3498,0.0083,-3.1408,0.3498,0.0083,-3.1408,0.3483,0.0077,-3.1407,0,0.0032,,,,0.3410,0.0214,-3.1375
1787423967.711,full,ok,0.3483,0.0077,-3.1407,0,0.3371,0.0115,-3.1392,0.3371,0.0115,-3.1392,0.3427,0.0096,-3.1399,0,0.0119,,,,0.3452,0.0204,-3.1382
1787423967.786,full,ok,0.3427,0.0096,-3.1399,0,0.3437,0.0065,-3.1407,0.3437,0.0065,-3.1407,0.3432,0.0081,-3.1403,0,0.0033,,,,0.3377,0.0242,-3.1365
1787423967.859,full,ok,0.3432,0.0081,-3.1403,0,0.3450,0.0132,-3.1393,0.3450,0.0132,-3.1393,0.3441,0.0106,-3.1398,0,0.0054,,,,0.3396,0.0210,-3.1376
1787423967.941,full,ok,0.3441,0.0106,-3.1398,0,0.3472,0.0090,-3.1403,0.3472,0.0090,-3.1403,0.3457,0.0098,-3.1401,0,0.0035,,,,0.3396,0.0210,-3.1376
1787423968.046,full,ok,0.3457,0.0098,-3.1401,0,0.3454,0.0031,-3.1413,0.3454,0.0031,-3.1413,0.3455,0.0065,-3.1407,0,0.0067,,,,0.3410,0.0215,-3.1376
1787423968.106,full,ok,0.3455,0.0065,-3.1407,0,0.3433,0.0023,3.1416,0.3433,0.0023,3.1416,0.3444,0.0044,-3.1411,0,0.0048,,,,0.3428,0.0208,-3.1378
1787423968.194,full,ok,0.3444,0.0044,-3.1411,0,0.3448,0.0090,-3.1403,0.3448,0.0090,-3.1403,0.3446,0.0067,-3.1407,0,0.0047,,,,0.3422,0.0157,-3.1387
1787423968.487,full,ok,0.3446,0.0067,-3.1407,0,0.3426,0.0067,-3.1407,0.3426,0.0067,-3.1407,0.3436,0.0067,-3.1407,0,0.0021,,,,0.3391,0.0244,-3.1408
1787423968.559,full,ok,0.3436,0.0067,-3.1407,0,0.3387,0.0059,-3.1407,0.3387,0.0059,-3.1407,0.3412,0.0063,-3.1407,0,0.0050,,,,0.3404,0.0196,-3.1379
1787423968.649,full,ok,0.3412,0.0063,-3.1407,0,0.3379,0.0065,-3.1406,0.3379,0.0065,-3.1406,0.3395,0.0064,-3.1406,0,0.0033,,,,0.3387,0.0162,-3.1385
1787423968.795,full,ok,0.3395,0.0064,-3.1406,0,0.3396,0.0002,3.1413,0.3396,0.0002,3.1413,0.3396,0.0033,-3.1413,0,0.0063,,,,0.3373,0.0152,-3.1388
1787423968.849,full,ok,0.3396,0.0033,-3.1413,0,0.3392,0.0020,3.1415,0.3392,0.0020,3.1415,0.3394,0.0027,-3.1415,0,0.0013,,,,0.3373,0.0127,-3.1392
1787423968.988,full,ok,0.3394,0.0027,-3.1415,0,0.3415,0.0018,3.1414,0.3415,0.0018,3.1414,0.3404,0.0022,3.1415,0,0.0023,,,,0.3376,0.0104,-3.1399
1787423969.071,full,ok,0.3404,0.0022,3.1415,0,0.3418,0.0033,-3.1415,0.3418,0.0033,-3.1415,0.3411,0.0027,-3.1416,0,0.0017,,,,0.3387,0.0101,-3.1400
1787423969.198,full,ok,0.3411,0.0027,-3.1416,0,0.3421,0.0034,-3.1413,0.3421,0.0034,-3.1413,0.3416,0.0031,-3.1414,0,0.0012,,,,0.3396,0.0094,-3.1402
1787423969.329,full,ok,0.3416,0.0031,-3.1414,0,0.3410,0.0027,-3.1414,0.3410,0.0027,-3.1414,0.3413,0.0029,-3.1414,0,0.0007,,,,0.3401,0.0095,-3.1400
1787423969.444,full,ok,0.3413,0.0029,-3.1414,0,0.3412,0.0046,-3.1409,0.3412,0.0046,-3.1409,0.3413,0.0038,-3.1412,0,0.0017,,,,0.3383,0.0137,3.1415
1787423969.539,full,ok,0.3413,0.0038,-3.1412,0,0.3395,0.0031,-3.1412,0.3395,0.0031,-3.1412,0.3404,0.0035,-3.1412,0,0.0019,,,,0.3398,0.0091,-3.1401
1787423969.612,full,ok,0.3404,0.0035,-3.1412,0,0.3407,0.0040,-3.1411,0.3407,0.0040,-3.1411,0.3406,0.0037,-3.1411,0,0.0006,,,,0.3399,0.0092,-3.1399
1787423969.656,full,ok,0.3406,0.0037,-3.1411,0,0.3422,0.0034,-3.1413,0.3422,0.0034,-3.1413,0.3414,0.0036,-3.1412,0,0.0017,,,,0.3395,0.0081,-3.1402
1787423969.735,full,ok,0.3414,0.0036,-3.1412,0,0.3434,0.0050,-3.1410,0.3434,0.0050,-3.1410,0.3424,0.0043,-3.1411,0,0.0024,,,,0.3395,0.0081,-3.1402
1787423969.799,full,ok,0.3424,0.0043,-3.1411,0,0.3426,0.0036,-3.1413,0.3426,0.0036,-3.1413,0.3425,0.0039,-3.1412,0,0.0007,,,,0.3404,0.0074,-3.1405
1787423969.873,full,ok,0.3425,0.0039,-3.1412,0,0.3392,0.0033,-3.1413,0.3392,0.0033,-3.1413,0.3408,0.0036,-3.1413,0,0.0034,,,,0.3416,0.0074,-3.1405
1787423969.962,full,ok,0.3408,0.0036,-3.1413,0,0.3406,0.0011,-3.1416,0.3406,0.0011,-3.1416,0.3407,0.0023,-3.1414,0,0.0025,,,,0.3401,0.0071,-3.1405
1787423970.092,full,ok,0.3407,0.0023,-3.1414,0,0.3415,0.0052,-3.1407,0.3415,0.0052,-3.1407,0.3411,0.0038,-3.1411,0,0.0029,,,,0.3400,0.0061,-3.1405
1787423970.163,full,ok,0.3411,0.0038,-3.1411,0,0.3413,0.0043,-3.1411,0.3413,0.0043,-3.1411,0.3412,0.0040,-3.1411,0,0.0005,,,,0.3404,0.0071,-3.1403
1787423970.213,full,ok,0.3412,0.0040,-3.1411,0,0.3415,0.0043,-3.1410,0.3415,0.0043,-3.1410,0.3413,0.0042,-3.1410,0,0.0004,,,,0.3404,0.0071,-3.1403
1787423970.295,full,ok,0.3413,0.0042,-3.1410,0,0.3405,0.0044,-3.1409,0.3405,0.0044,-3.1409,0.3409,0.0043,-3.1410,0,0.0008,,,,0.3408,0.0066,-3.1405
1787423970.369,full,ok,0.3409,0.0043,-3.1410,0,0.3411,0.0073,-3.1404,0.3411,0.0073,-3.1404,0.3410,0.0058,-3.1407,0,0.0031,,,,0.3404,0.0066,-3.1404
1787423970.439,full,ok,0.3410,0.0058,-3.1407,0,0.3400,0.0079,-3.1403,0.3400,0.0079,-3.1403,0.3405,0.0068,-3.1405,0,0.0024,,,,0.3404,0.0066,-3.1404
1787423970.507,full,ok,0.3405,0.0068,-3.1405,0,0.3388,0.0038,-3.1411,0.3388,0.0038,-3.1411,0.3397,0.0053,-3.1408,0,0.0035,,,,0.3405,0.0075,-3.1403
1787423970.605,full,ok,0.3397,0.0053,-3.1408,0,0.3415,0.0040,-3.1412,0.3415,0.0040,-3.1412,0.3406,0.0046,-3.1410,0,0.0023,,,,0.3393,0.0074,-3.1404
1787423970.661,full,ok,0.3406,0.0046,-3.1410,0,0.3414,0.0071,-3.1405,0.3414,0.0071,-3.1405,0.3410,0.0059,-3.1407,0,0.0026,,,,0.3402,0.0070,-3.1405
1787423970.729,full,ok,0.3410,0.0059,-3.1407,0,0.3415,0.0055,-3.1408,0.3415,0.0055,-3.1408,0.3412,0.0057,-3.1408,0,0.0006,,,,0.3402,0.0070,-3.1405
1787423970.796,full,ok,0.3412,0.0057,-3.1408,0,0.3426,0.0069,-3.1405,0.3426,0.0069,-3.1405,0.3419,0.0063,-3.1406,0,0.0018,,,,0.3406,0.0074,-3.1404
1787423970.895,full,ok,0.3419,0.0063,-3.1406,0,0.3429,0.0054,-3.1408,0.3429,0.0054,-3.1408,0.3424,0.0059,-3.1407,0,0.0013,,,,0.3416,0.0076,-3.1403
1787423971.022,full,ok,0.3424,0.0059,-3.1407,0,0.3445,0.0073,-3.1403,0.3445,0.0073,-3.1403,0.3434,0.0066,-3.1405,0,0.0026,,,,0.3422,0.0074,-3.1404
1787423971.111,full,ok,0.3434,0.0066,-3.1405,0,0.3439,0.0038,-3.1412,0.3439,0.0038,-3.1412,0.3437,0.0052,-3.1409,0,0.0029,,,,0.3420,0.0087,-3.1415
1787423971.217,full,ok,0.3437,0.0052,-3.1409,0,0.3441,0.0098,-3.1397,0.3441,0.0098,-3.1397,0.3439,0.0075,-3.1403,0,0.0047,,,,0.3437,0.0068,-3.1406
1787423971.325,full,ok,0.3439,0.0075,-3.1403,0,0.3445,0.0053,-3.1408,0.3445,0.0053,-3.1408,0.3442,0.0064,-3.1406,0,0.0023,,,,0.3439,0.0083,-3.1400
1787423971.383,full,ok,0.3442,0.0064,-3.1406,0,0.3464,0.0104,-3.1397,0.3464,0.0104,-3.1397,0.3453,0.0084,-3.1401,0,0.0046,,,,0.3440,0.0091,-3.1409
1787423971.530,full,ok,0.3453,0.0084,-3.1401,0,0.3420,0.0046,-3.1411,0.3420,0.0046,-3.1411,0.3437,0.0065,-3.1406,0,0.0050,,,,0.3454,0.0087,-3.1401
